msisdn,event_occurrence_flag,satisfaction_score,primary_tower_id
917000396634,True,55,TWR_060
917000728926,False,62,TWR_149
917000791717,True,9,TWR_054
917000840218,False,26,TWR_406
917001233817,True,47,TWR_117
917001743499,False,22,TWR_064
917002456273,True,72,TWR_086
917002903074,False,97,TWR_096
917002935589,True,79,TWR_077
917003091620,False,32,TWR_023
917003622015,False,16,TWR_331
917003726468,True,72,TWR_041
917004665657,False,62,TWR_044
917004943787,False,17,TWR_007
917005154842,True,59,TWR_017
917005502537,True,14,TWR_076
917005856809,True,96,TWR_058
917006279398,True,56,TWR_037
917006718781,True,77,TWR_104
917006789986,True,49,TWR_056
917007263971,True,93,TWR_026
917007721941,False,40,TWR_184
917008958266,False,66,TWR_040
917009257255,False,21,TWR_081
917009435833,False,35,TWR_102
917010508398,True,2,TWR_065
917010621799,False,10,TWR_002
917011017705,False,88,TWR_015
917011031667,True,37,TWR_052
917011492154,False,78,TWR_192
917011759631,True,13,TWR_014
917012178595,False,89,TWR_095
917012951344,True,66,TWR_023
917013210480,True,96,TWR_179
917013938521,False,19,TWR_059
917014204998,False,93,TWR_175
917014917670,True,54,TWR_208
917015173668,True,69,TWR_151
917015228622,True,13,TWR_053
917015907492,False,71,TWR_013
917016387764,False,64,TWR_009
917017651775,False,36,TWR_210
917017711717,False,99,TWR_107
917017719851,False,58,TWR_061
917018443885,False,7,TWR_002
917018592584,False,100,TWR_037
917018629956,False,68,TWR_032
917019112776,True,62,TWR_042
917019628190,False,82,TWR_098
917019977835,True,90,TWR_080
917020053819,True,20,TWR_018
917020244331,True,55,TWR_103
917020752792,True,81,TWR_076
917021602991,True,40,TWR_109
917021808033,False,44,TWR_051
917022254113,False,5,TWR_049
917022313296,True,12,TWR_012
917022391377,False,12,TWR_037
917022553699,False,24,TWR_184
917022723101,False,44,TWR_093
917023025260,False,94,TWR_264
917023491105,True,14,TWR_107
917023814791,True,77,TWR_037
917024245671,True,100,TWR_016
917024698406,True,3,TWR_106
917024933829,True,48,TWR_013
917025112991,True,25,TWR_296
917025323460,False,43,TWR_011
917025335682,False,58,TWR_053
917026224160,True,26,TWR_006
917026333597,False,37,TWR_180
917027271239,True,14,TWR_099
917027392783,True,98,TWR_166
917027418321,True,65,TWR_013
917027911967,False,54,TWR_168
917028212913,False,88,TWR_382
917028230917,False,18,TWR_261
917028293433,False,74,TWR_074
917028336833,True,44,TWR_297
917028399849,False,29,TWR_043
917028427814,True,53,TWR_022
917028448463,False,64,TWR_050
917029065628,True,99,TWR_030
917029335155,True,83,TWR_045
917030554742,False,65,TWR_027
917030884438,True,61,TWR_022
917030898225,True,100,TWR_214
917031001012,True,71,TWR_095
917031026838,True,35,
917031484632,True,72,TWR_017
917031557592,False,96,TWR_068
