msisdn,tenure_in_days,survival_prob_pct,aggregated_call_drop_frequency,handover_failure_rate,average_rsrp_dbm
919428365056,56,75.3,0.0,0.0,36.75
919403574352,36,55.38,0.0,0.0,50.0
917391663395,31,68.93,0.0,0.0,68.66666666666667
917017651775,7,76.91,0.0,0.0,39.25
918599840853,84,83.67,0.0,0.0,61.666666666666664
918338197849,19,47.93,0.0,0.0,42.57142857142857
918419756364,69,11.74,0.0,0.0,73.25
917152721525,85,44.88,0.0,0.0,46.333333333333336
918687738937,53,76.25,0.0,0.0,36.6
919945486396,100,8.53,0.0,0.0,70.6
919167021467,71,2.75,0.0,0.0,35.333333333333336
919877229210,6,26.63,0.0,0.0,42.285714285714285
919864283209,63,96.22,0.0,0.0,44.6
919560761628,45,63.07,0.0,0.0,43.25
918469072661,85,45.79,0.0,0.0,55.25
919835590759,25,72.78,0.0,0.0,24.142857142857142
919003484425,42,47.95,0.0,0.0,52.333333333333336
919378483743,32,81.12,0.0,0.0,50.166666666666664
919620233330,41,55.76,0.0,0.0,33.8
918918260963,80,92.01,0.0,0.0,32.75
918991800019,35,0.5,0.0,0.0,52.0
917453796587,97,87.54,0.0,0.0,45.25
919962958940,63,85.61,0.0,0.0,79.75
917294678352,40,2.18,0.0,0.0,45.25
917721508131,50,4.35,0.0,0.0,36.5
917210643427,51,27.76,0.0,0.0,56.0
918934898666,11,3.97,0.0,0.0,51.4
917557376230,63,8.76,0.0,0.0,53.142857142857146
919799264931,100,4.83,0.0,0.0,78.0
919577335953,52,93.93,0.0,0.0,56.5
919427631155,91,69.98,0.0,0.0,41.5
917437021700,2,36.59,0.0,0.0,65.25
917753162653,84,67.81,0.0,0.0,22.0
919577014150,19,58.85,0.0,0.0,49.166666666666664
919572447412,10,18.06,0.0,0.0,0.0
919423086220,11,71.96,0.0,0.0,48.833333333333336
917696846464,7,1.7,0.0,0.0,52.5
918043665192,84,77.02,0.0,0.0,24.8
917371026639,21,50.39,0.0,0.0,46.25
919950008807,15,55.46,0.0,0.0,38.8
919923781318,63,49.85,0.0,0.0,18.5
917621430136,41,94.77,0.0,0.0,76.0
918382129132,22,34.99,0.0,0.0,39.166666666666664
919137464556,6,90.67,0.0,0.0,49.25
917566056427,25,68.96,0.0,0.0,73.0
919387104291,12,61.28,0.0,0.0,66.66666666666667
917562851356,81,78.66,0.0,0.0,24.714285714285715
919354296652,27,86.82,0.0,0.0,68.85714285714286
919559111385,9,82.27,0.0,0.0,62.4
917031001012,16,73.62,0.0,0.0,22.0
919254075750,56,96.94,0.0,0.0,21.0
917999329934,53,84.42,0.0,0.0,44.666666666666664
918252687769,44,52.16,0.0,0.0,56.666666666666664
917640570713,2,36.54,0.0,0.0,40.666666666666664
917765571034,73,63.98,0.0,0.0,37.8
919975143612,12,53.73,0.0,0.0,35.4
918270126729,5,79.03,0.0,0.0,41.333333333333336
919808105335,80,81.04,0.0,0.0,50.5
919484528348,89,96.98,0.0,0.0,44.25
918405969000,74,46.79,0.0,0.0,47.857142857142854
918438888667,86,85.17,0.0,0.0,43.75
919286128610,73,49.72,0.0,0.0,31.6
917610900200,24,11.9,0.0,0.0,35.0
917877990647,87,15.01,0.0,0.0,35.0
917521247759,51,32.99,0.0,0.0,27.5
918121534958,78,76.8,0.0,0.0,32.0
918457293575,47,7.12,0.0,0.0,75.0
917433348075,30,7.67,0.0,0.0,30.0
919781891923,9,92.62,0.0,0.0,61.285714285714285
919955544302,52,20.49,0.0,0.0,66.6
917308146694,44,0.95,0.0,0.0,48.2
919616197747,2,33.34,0.0,0.0,45.0
917783432867,71,65.67,0.0,0.0,46.0
919805802822,32,18.85,0.0,0.0,55.6
918345840745,9,85.77,0.0,0.0,44.0
918632978535,64,16.82,0.0,0.0,50.75
917889687133,45,28.84,0.0,0.0,53.333333333333336
919369078206,86,52.26,0.0,0.0,74.5
918107613491,40,90.66,0.0,0.0,64.25
919060961937,49,70.53,0.0,0.0,73.66666666666667
919849088142,97,16.22,0.0,0.0,33.75
917360648843,35,24.07,0.0,0.0,46.25
917985635941,26,86.9,0.0,0.0,32.0
917373780031,77,53.93,0.0,0.0,43.0
918774282158,68,99.61,0.0,0.0,32.44444444444444
917480468219,5,70.01,0.0,0.0,51.888888888888886
918673848685,6,46.73,0.0,0.0,40.333333333333336
919674551397,32,73.19,0.0,0.0,32.333333333333336
919905492920,84,40.86,0.0,0.0,96.5
918793484162,88,10.27,0.0,0.0,48.142857142857146
919130846652,85,40.94,0.0,0.0,52.4
919595403573,28,28.62,0.0,0.0,55.375
917338258951,39,35.02,0.0,0.0,38.666666666666664
918099375147,98,10.9,0.0,0.0,51.0
917194314620,47,23.24,0.0,0.0,50.57142857142857
919646649013,15,69.86,0.0,0.0,45.75
919778843173,64,22.24,0.0,0.0,49.0
919787996193,73,97.3,0.0,0.0,45.833333333333336
919343459102,45,29.08,0.0,0.0,19.0
917353183979,69,45.16,0.0,0.0,61.142857142857146
919395869480,33,33.41,0.0,0.0,44.0
917624378340,37,76.72,0.0,0.0,57.0
917314652384,4,26.08,0.0,0.0,60.25
918913333579,43,94.43,0.0,0.0,57.25
918447885778,23,59.59,0.0,0.0,63.57142857142857
917442823293,51,13.15,0.0,0.0,59.6
918967770105,47,11.25,0.0,0.0,45.833333333333336
917835479352,98,55.5,0.0,0.0,52.0
917676220116,38,12.51,0.0,0.0,48.0
919278152876,0,13.77,0.0,0.0,52.5
917573420239,88,59.53,0.0,0.0,60.5
919877733629,22,58.12,0.0,0.0,41.5
919318297747,2,24.3,0.0,0.0,59.0
919563707272,25,88.98,0.0,0.0,79.5
918699484121,70,19.32,0.0,0.0,47.55555555555556
919398410571,3,85.52,0.0,0.0,31.0
918265162573,19,56.35,0.0,0.0,58.75
917022391377,69,59.71,0.0,0.0,34.6
917375899416,5,3.67,0.0,0.0,41.5
919303029031,31,45.62,0.0,0.0,39.0
918792012815,94,54.72,0.0,0.0,48.0
918403792057,76,0.34,0.0,0.0,49.0
919366355159,29,67.18,0.0,0.0,37.666666666666664
919774492599,95,58.83,0.0,0.0,49.285714285714285
917387652480,88,39.97,0.0,0.0,56.142857142857146
919517360884,67,28.7,0.0,0.0,37.8
917357561213,1,46.43,0.0,0.0,41.666666666666664
918013465558,81,79.59,0.0,0.0,49.0
917527259496,9,35.76,0.0,0.0,73.83333333333333
917221348142,68,21.18,0.0,0.0,53.0
919652916423,92,91.26,0.0,0.0,53.5
918567067057,76,80.88,0.0,0.0,39.5
918708879427,18,31.63,0.0,0.0,41.8
918686352103,38,45.41,0.0,0.0,43.125
917004943787,95,67.56,0.0,0.0,34.0
918032398249,12,34.02,0.0,0.0,40.0
917474439845,9,81.26,0.0,0.0,46.833333333333336
919187920410,16,72.31,0.0,0.0,53.166666666666664
917430372878,46,17.68,0.0,0.0,41.0
917280647907,37,24.76,0.0,0.0,24.0
918648021756,57,96.39,0.0,0.0,30.6
918699887270,95,83.46,0.0,0.0,34.166666666666664
918178884276,25,46.27,0.0,0.0,60.75
918720627470,82,17.12,0.0,0.0,36.25
917673621345,32,41.54,0.0,0.0,84.0
918791674708,37,47.25,0.0,0.0,15.4
919567466567,6,70.01,0.0,0.0,37.2
919658245206,37,49.82,0.0,0.0,49.857142857142854
919082029167,68,79.95,0.0,0.0,48.25
919736820502,36,61.28,0.0,0.0,44.875
917089365072,24,38.38,0.0,0.0,44.75
917717967293,18,58.17,0.0,0.0,43.333333333333336
917661527911,40,30.02,0.0,0.0,64.66666666666667
919843139149,49,21.15,0.0,0.0,28.0
918612105539,43,4.06,0.0,0.0,46.142857142857146
917855069520,80,63.34,0.0,0.0,42.0
919022142957,5,82.57,0.0,0.0,69.6
918819241774,79,30.92,0.0,0.0,54.142857142857146
918811967841,18,19.73,0.0,0.0,42.25
917162629078,9,86.81,0.0,0.0,67.4
918391890561,24,34.32,0.0,0.0,47.55555555555556
919146875428,98,93.37,0.0,0.0,76.66666666666667
919106900240,42,59.2,0.0,0.0,37.0
918196591018,88,79.78,0.0,0.0,70.0
919473979489,58,22.07,0.0,0.0,67.28571428571429
919888081200,97,18.75,0.0,0.0,50.4
917197323378,59,17.33,0.0,0.0,80.0
917732578761,99,67.05,0.0,0.0,50.0
917366076664,58,11.45,0.0,0.0,50.2
918115862756,92,12.97,0.0,0.0,54.0
917149157745,65,54.6,0.0,0.0,76.0
919674707124,36,62.63,0.0,0.0,58.42857142857143
918925327382,62,11.0,0.0,0.0,54.2
919121337685,99,23.62,0.0,0.0,59.0
918915048861,25,65.22,0.0,0.0,43.714285714285715
919694254580,6,28.11,0.0,0.0,76.25
919369078206,51,60.08,0.0,0.0,74.5
919482196541,87,18.6,0.0,0.0,38.333333333333336
917911047815,70,51.71,0.0,0.0,37.57142857142857
919633107545,17,92.15,0.0,0.0,60.666666666666664
918935866295,41,65.82,0.0,0.0,49.57142857142857
919993006274,28,16.03,0.0,0.0,53.25
918841810119,6,24.31,0.0,0.0,71.25
919555408498,26,50.86,0.0,0.0,1.0
918032089545,29,75.21,0.0,0.0,46.666666666666664
918443665390,71,12.51,0.0,0.0,54.75
918217428333,1,69.54,0.0,0.0,61.4
919690594504,76,1.23,0.0,0.0,57.2
917506211965,55,72.79,0.0,0.0,50.4
917067198189,42,34.12,0.0,0.0,57.25
919168005699,32,94.29,0.0,0.0,48.857142857142854
919411057787,4,6.42,0.0,0.0,54.57142857142857
917364194056,14,93.94,0.0,0.0,39.714285714285715
917789785197,13,9.07,0.0,0.0,42.4
917859316945,66,6.84,0.0,0.0,69.125
