msisdn,event_occurrence_flag,tenure_in_days,rival_attraction_idx,customer_call_drop_frequency
919428365056,True,56,456,0.0
919403574352,False,36,455,0.0
917391663395,True,31,614,0.0
917017651775,False,7,549,0.0
918599840853,True,84,668,0.0
918338197849,True,19,370,0.0
918419756364,True,69,561,0.0
917152721525,False,85,803,0.0
918687738937,False,53,722,0.0
919945486396,False,100,102,0.0
919167021467,True,71,924,0.0
919877229210,False,6,702,0.0
919864283209,True,63,318,0.0
919560761628,True,45,540,0.0
918469072661,False,85,176,0.0
919835590759,False,25,927,0.0
919003484425,False,42,202,0.0
919378483743,True,32,973,0.0
919620233330,True,41,393,0.0
918918260963,True,80,306,0.0
918991800019,False,35,873,0.0
917453796587,False,97,373,0.0
919962958940,True,63,516,0.0
917294678352,True,40,371,0.0
917721508131,False,50,781,0.0
917210643427,True,51,824,0.0
918934898666,False,11,897,0.0
917557376230,False,63,193,0.0
919799264931,False,100,994,0.0
919577335953,True,52,352,0.0
919427631155,False,91,534,0.0
917437021700,False,2,859,0.0
917753162653,True,84,137,0.0
919577014150,False,19,187,0.0
919572447412,True,10,163,0.0
919423086220,False,11,139,0.0
917696846464,False,7,564,0.0
918043665192,False,84,299,0.0
917371026639,False,21,706,0.0
919950008807,True,15,806,0.0
919923781318,True,63,968,0.0
917621430136,False,41,905,0.0
918382129132,True,22,522,0.0
919137464556,False,6,459,0.0
917566056427,False,25,330,0.0
919387104291,True,12,247,0.0
917562851356,True,81,148,0.0
919354296652,True,27,189,0.0
919559111385,False,9,714,0.0
917031001012,True,16,841,0.0
919254075750,True,56,135,0.0
917999329934,False,53,829,0.0
918252687769,True,44,108,0.0
917640570713,False,2,377,0.0
917765571034,False,73,658,0.0
919975143612,True,12,537,0.0
918270126729,True,5,997,0.0
919808105335,True,80,165,0.0
919484528348,True,89,805,0.0
918405969000,False,74,739,0.0
918438888667,True,86,289,0.0
919286128610,True,73,549,0.0
917610900200,False,24,355,0.0
917877990647,True,87,226,0.0
917521247759,False,51,791,0.0
918121534958,True,78,724,0.0
918457293575,True,47,215,0.0
917433348075,False,30,261,0.0
919781891923,False,9,530,0.0
919955544302,True,52,990,0.0
917308146694,True,44,219,0.0
919616197747,True,2,962,0.0
917783432867,False,71,963,0.0
919805802822,True,32,431,0.0
918345840745,True,9,389,0.0
918632978535,True,64,917,0.0
917889687133,True,45,595,0.0
919369078206,True,86,177,0.0
918107613491,True,40,570,0.0
919060961937,True,49,819,0.0
919849088142,False,97,705,0.0
917360648843,False,35,291,0.0
917985635941,True,26,470,0.0
917373780031,False,77,805,0.0
918774282158,False,68,730,0.0
917480468219,False,5,875,0.0
918673848685,True,6,775,0.0
919674551397,True,32,623,0.0
919905492920,False,84,324,0.0
918793484162,True,88,972,0.0
919130846652,True,85,444,0.0
919595403573,False,28,861,0.0
917338258951,False,39,773,0.0
918099375147,False,98,582,0.0
917194314620,False,47,272,0.0
919646649013,False,15,865,0.0
919778843173,True,64,215,0.0
919787996193,True,73,522,0.0
919343459102,False,45,686,0.0
917353183979,False,69,234,0.0
919395869480,True,33,927,0.0
917624378340,True,37,427,0.0
917314652384,True,4,961,0.0
918913333579,False,43,777,0.0
918447885778,False,23,838,0.0
917442823293,True,51,879,0.0
918967770105,False,47,169,0.0
917835479352,False,98,940,0.0
917676220116,False,38,353,0.0
919278152876,False,0,369,0.0
917573420239,False,88,393,0.0
919877733629,False,22,785,0.0
919318297747,True,2,131,0.0
919563707272,False,25,896,0.0
918699484121,False,70,946,0.0
919398410571,False,3,323,0.0
918265162573,False,19,978,0.0
917022391377,False,69,430,0.0
917375899416,True,5,931,0.0
919303029031,True,31,462,0.0
918792012815,False,94,353,0.0
918403792057,False,76,537,0.0
919366355159,False,29,824,0.0
919774492599,False,95,364,0.0
917387652480,True,88,157,0.0
919517360884,True,67,908,0.0
917357561213,False,1,147,0.0
918013465558,True,81,192,0.0
917527259496,False,9,685,0.0
917221348142,False,68,514,0.0
919652916423,False,92,968,0.0
918567067057,False,76,330,0.0
918708879427,True,18,471,0.0
918686352103,True,38,618,0.0
917004943787,False,95,869,0.0
918032398249,False,12,988,0.0
917474439845,True,9,543,0.0
919187920410,False,16,718,0.0
917430372878,False,46,684,0.0
917280647907,True,37,999,0.0
918648021756,True,57,829,0.0
918699887270,True,95,399,0.0
918178884276,True,25,642,0.0
918720627470,True,82,461,0.0
917673621345,False,32,474,0.0
918791674708,True,37,501,0.0
919567466567,False,6,635,0.0
919658245206,True,37,612,0.0
919082029167,True,68,852,0.0
919736820502,False,36,967,0.0
917089365072,True,24,812,0.0
917717967293,True,18,690,0.0
917661527911,False,40,538,0.0
919843139149,True,49,394,0.0
918612105539,False,43,420,0.0
917855069520,True,80,271,0.0
919022142957,False,5,571,0.0
918819241774,False,79,744,0.0
918811967841,True,18,800,0.0
917162629078,True,9,350,0.0
918391890561,True,24,598,0.0
919146875428,True,98,573,0.0
919106900240,True,42,792,0.0
918196591018,True,88,295,0.0
919473979489,False,58,538,0.0
919888081200,False,97,230,0.0
917197323378,True,59,929,0.0
917732578761,True,99,498,0.0
917366076664,False,58,175,0.0
918115862756,True,92,415,0.0
917149157745,True,65,531,0.0
919674707124,False,36,103,0.0
918925327382,False,62,843,0.0
919121337685,True,99,114,0.0
918915048861,True,25,702,0.0
919694254580,True,6,626,0.0
919369078206,False,51,164,0.0
919482196541,False,87,778,0.0
917911047815,False,70,567,0.0
919633107545,False,17,446,0.0
918935866295,False,41,481,0.0
919993006274,False,28,545,0.0
918841810119,True,6,998,0.0
919555408498,False,26,245,0.0
918032089545,True,29,320,0.0
918443665390,False,71,199,0.0
918217428333,False,1,593,0.0
919690594504,True,76,917,0.0
917506211965,True,55,982,0.0
917067198189,True,42,856,0.0
919168005699,True,32,386,0.0
919411057787,False,4,564,0.0
917364194056,True,14,569,0.0
917789785197,False,13,422,0.0
917859316945,True,66,704,0.0
919770939734,True,66,451,0.0
918073127233,True,14,657,0.0
918885790857,True,10,817,0.0
919763021449,False,65,279,0.0
917973744985,True,12,511,0.0
917337786687,False,63,854,0.0
917419728551,True,77,624,0.0
919418790740,False,26,269,0.0
919043698731,False,23,156,0.0
919779696951,True,94,832,0.0
918683269674,True,88,333,0.0
919262084520,False,27,413,0.0
919894673596,True,73,382,0.0
917979069637,True,62,177,0.0
917028399849,False,75,436,0.0
917851546865,True,64,106,0.0
917716681967,True,2,714,0.0
918194970235,True,19,383,0.0
917168584421,False,25,863,0.0
917425093520,True,58,542,0.0
918958628128,True,50,233,0.0
918311597141,False,3,769,0.0
919506801119,True,54,721,0.0
917113236420,True,23,461,0.0
918155671697,False,40,831,0.0
919625549685,True,85,480,0.0
917916347640,True,57,259,0.0
917357730247,True,89,505,0.0
918134900434,True,6,509,0.0
918138485826,True,82,792,0.0
917172050713,False,8,214,0.0
919307507627,True,50,545,0.0
917772223853,False,94,514,0.0
918206596621,False,56,890,0.0
917529222385,True,81,912,0.0
919632627835,True,37,440,0.0
917376233267,True,48,349,0.0
919485517370,False,21,125,0.0
918323003336,False,4,105,0.0
919925111890,True,28,419,0.0
917506487119,True,91,553,0.0
917521795675,True,43,225,0.0
919605446007,False,5,894,0.0
919163970710,False,90,531,0.0
918991800019,True,72,902,0.0
917639875354,False,58,247,0.0
918194675791,False,42,217,0.0
919638923659,False,53,164,0.0
918521714121,True,27,407,0.0
917597060483,False,57,259,0.0
918165144965,True,71,488,0.0
919371162526,True,5,710,0.0
918734202799,True,61,527,0.0
918457218442,True,73,714,0.0
919501256025,True,59,583,0.0
917062293591,False,51,847,0.0
919996283266,True,52,643,0.0
919029164060,False,67,727,0.0
