msisdn,event_occurrence_flag,estimated_clv_amt,tenure_in_days,avg_recharge_3mo,satisfaction_score,total_call_drops_past_period,total_handover_failures_past_period,avg_rsrp_dbm_past_period
919428365056,True,249.29,56,151.53,85,0.0,6.0,36.75
919403574352,False,2257.44,36,134.16,39,0.0,11.0,50.0
917391663395,True,4016.77,31,164.54,63,0.0,6.0,68.66666666666667
917017651775,False,1634.12,7,560.17,36,0.0,2.0,39.25
918599840853,True,3204.89,84,248.27,92,0.0,4.0,61.666666666666664
918338197849,True,803.36,19,970.24,55,0.0,12.0,42.57142857142857
918419756364,True,3740.45,69,985.05,42,0.0,6.0,73.25
917152721525,False,2566.17,85,179.11,67,0.0,5.0,46.333333333333336
918687738937,False,1092.47,53,635.22,55,0.0,2.0,36.6
919945486396,False,2544.92,100,879.64,55,0.0,3.0,70.6
919167021467,True,811.61,71,955.3,72,0.0,1.0,35.333333333333336
919877229210,False,2708.14,6,790.37,90,0.0,7.0,42.285714285714285
919864283209,True,1019.87,63,472.7,6,0.0,5.0,44.6
919560761628,True,2134.58,45,904.52,26,0.0,8.0,43.25
918469072661,False,3992.25,85,342.33,74,0.0,8.0,55.25
919835590759,False,400.11,25,804.29,13,0.0,6.0,24.142857142857142
919003484425,False,1998.07,42,16.47,59,0.0,4.0,52.333333333333336
919378483743,True,4964.75,32,647.45,58,0.0,6.0,50.166666666666664
919620233330,True,943.17,41,780.94,68,0.0,6.0,33.8
918918260963,True,4494.36,80,390.6,100,0.0,8.0,32.75
918991800019,False,1246.13,35,172.12,90,0.0,2.0,52.0
917453796587,False,1828.69,97,467.76,62,1.0,6.0,45.25
919962958940,True,4545.19,63,317.74,25,0.0,3.0,79.75
917294678352,True,871.4,40,983.06,29,0.0,7.0,45.25
917721508131,False,4572.42,50,809.41,76,0.0,3.0,36.5
917210643427,True,2188.94,51,129.53,31,0.0,5.0,56.0
918934898666,False,658.14,11,121.29,12,0.0,4.0,51.4
917557376230,False,714.81,63,165.69,100,0.0,7.0,53.142857142857146
919799264931,False,2460.38,100,256.89,50,0.0,4.0,78.0
919577335953,True,3669.93,52,697.64,13,0.0,10.0,56.5
919427631155,False,644.03,91,187.1,47,0.0,7.0,41.5
917437021700,False,843.03,2,70.84,8,0.0,3.0,65.25
917753162653,True,4901.98,84,84.69,42,0.0,5.0,22.0
919577014150,False,2518.81,19,906.37,96,0.0,3.0,49.166666666666664
919572447412,True,2430.89,10,97.86,94,0.0,6.0,
919423086220,False,2446.98,11,944.5,45,0.0,5.0,48.833333333333336
917696846464,False,4378.16,7,221.67,81,0.0,5.0,52.5
918043665192,False,132.18,84,473.44,48,0.0,8.0,24.8
917371026639,False,4657.92,21,320.53,33,0.0,4.0,46.25
919950008807,True,2364.44,15,70.78,72,0.0,3.0,38.8
919923781318,True,1103.89,63,167.94,83,0.0,2.0,18.5
